rank,player_name,position,draft_year,pick,college,draft_age,breakout_age,dominator_pct,breakout_score_raw,production_percentile,rec_yards,team_pass_att,production_score_raw,ras_raw,ras_score,dc_score,slap_score,slap_tier,delta,nfl_best_ppg,hit24
38,Josh Cameron,WR,2026,194,Baylor,22,21.0,,60.0,36.99551569506727,,,,,68.9,39.500337629514114,43.409322598197626,Poor,3.9089849686835123,,
39,Anthony Evans III,WR,2026,250,Mississippi State,20,20.0,23.240917782026767,76.62045889101339,63.67713004484305,,,,,68.9,28.79046960395864,41.784231251541726,Poor,12.993761647583085,,
40,Hykeem Williams,WR,2026,250,Colorado,21,20.0,,75.0,58.29596412556054,,,,,68.9,28.79046960395864,40.707998067685224,Poor,11.917528463726583,,
41,Harrison Wallace III,WR,2026,250,Ole Miss,22,20.0,,75.0,58.29596412556054,,,,,68.9,28.79046960395864,40.707998067685224,Poor,11.917528463726583,,
42,Eli Heidenreich,WR,2026,250,Navy,23,21.0,52.840236686390526,69.9,53.25112107623319,,,,,68.9,28.79046960395864,39.699029457819755,Poor,10.908559853861114,,
43,Vinny Anthony II,WR,2026,224,Wisconsin,MISSING,21.0,,60.0,36.99551569506727,,,,,68.9,33.6353854310527,39.59710366919771,Poor,5.961718238145011,,
44,Caullin Lacy,WR,2026,231,Louisville,23,21.0,,60.0,36.99551569506727,,,,,68.9,32.31086999617516,38.73616863652731,Poor,6.425298640352153,,
45,Ja'Varrius Johnson,WR,2026,250,Auburn,25,21.0,28.56338481338481,64.2816924066924,45.2914798206278,,,,,68.9,28.79046960395864,38.10710120669868,Poor,9.316631602740038,,
46,Hank Beatty,WR,2026,250,Illinois,21,21.0,20.61635576991276,60.30817788495638,41.47982062780269,,,,,68.9,28.79046960395864,37.344769368133655,Poor,8.554299764175013,,
47,Kendrick Law,WR,2026,250,Kentucky,22,21.0,,60.0,36.99551569506727,,,,,68.9,28.79046960395864,36.44790838158657,Poor,7.657438777627931,,
48,Colbie Young,WR,2026,250,Georgia,23,21.0,,60.0,36.99551569506727,,,,,68.9,28.79046960395864,36.44790838158657,Poor,7.657438777627931,,
49,Emmanuel Henderson,WR,2026,250,Kansas,22,22.0,25.377140974967062,47.68857048748353,25.784753363228702,,,,,68.9,28.79046960395864,34.20575591521886,Poor,5.415286311260218,,
50,Ja'Mori Maclin,WR,2026,250,Kentucky,23,,20.38923955515479,35.0,18.385650224215247,,,,,68.9,28.79046960395864,32.72593528741616,Poor,3.9354656834575223,,
