player_name,position,school,draft_year,pick,round,slap_v5,slap_v4,dc_score,enhanced_breakout,teammate_score,early_declare_score,delta_v5_dc,delta_v5_v4,breakout_age,peak_dominator,rush_yards,nfl_hit24,nfl_hit12,nfl_first_3yr_ppg,nfl_career_ppg,nfl_best_ppr,data_type,production_score,speed_score_norm,rec_yards,team_pass_att,weight,forty,nfl_best_ppg
Wendell Smallwood,RB,West Virginia,2016,153,5,40.5,42.5,48.1,,,,-7.6,-2.0,,,,0,0,6.56969696969697,5.413043478260869,128.3,backtest,22.4,50.6,160.0,429.0,208.0,4.47,7.547058823529412
Jordan Howard,RB,Indiana,2016,150,5,38.7,37.6,48.8,,,,-10.1,1.1,,,,1,1,12.974468085106382,11.471830985915492,230.1,backtest,14.5,53.3,106.0,461.0,230.0,4.57,13.53529411764706
Dwayne Washington,RB,Washington,2016,236,7,36.8,47.1,31.4,,,,5.5,-10.3,,,,0,0,,,48.7,backtest,47.7,42.4,315.0,396.0,,,2.864705882352941
Jonathan Williams,RB,Arkansas,2016,156,5,36.4,37.1,47.5,,,,-11.1,-0.8,,,,0,0,1.2272727272727273,3.627586206896552,40.400000000000006,backtest,10.9,45.3,65.0,359.0,220.0,4.56,2.3764705882352946
Keenan Reynolds,RB,Navy,2016,182,6,36.3,35.9,41.9,,,,-5.6,0.4,,,,0,0,,,0.0,backtest,23.1,42.4,47.0,122.0,,,0.0
Alex Collins,RB,Arkansas,2016,171,5,35.2,31.9,44.2,,,,-9.1,3.3,,,,1,0,9.279411764705882,8.445833333333335,171.0,backtest,15.2,36.6,95.0,374.0,217.0,4.59,10.058823529411764
Darius Jackson,RB,Eastern Michigan,2016,216,6,33.5,42.7,35.2,,,,-1.7,-9.2,,,,0,0,,,1.6,backtest,29.5,35.6,201.0,409.0,200.0,,0.0941176470588235
Kelvin Taylor,RB,Florida,2016,211,6,31.4,29.8,36.1,,,,-4.7,1.6,,,,0,0,,,0.0,backtest,22.2,25.0,150.0,405.0,207.0,4.6,0.0
Keith Marshall,RB,Georgia,2016,242,7,26.2,31.0,30.3,,,,-4.0,-4.7,,,,0,0,,,0.0,backtest,5.1,100.0,28.0,327.0,219.0,4.31,0.0
Zac Brooks,RB,Clemson,2016,247,7,24.9,30.9,29.3,,,,-4.5,-6.0,,,,0,0,,,0.0,backtest,12.2,42.4,113.0,528.0,,,0.0
Daniel Lasco,RB,California,2016,237,7,23.7,30.9,31.2,,,,-7.5,-7.2,,,,0,0,,,6.300000000000001,backtest,2.5,53.7,24.0,550.0,209.0,4.46,0.3705882352941176
Christian McCaffrey,RB,Stanford,2017,8,1,82.2,82.1,93.7,,,,-11.5,0.2,,,,1,1,22.610416666666666,22.439821428571427,480.3,backtest,64.1,42.1,310.0,304.0,202.0,4.48,28.25294117647059
Joe Mixon,RB,Oklahoma,2017,48,2,78.3,83.0,75.9,,,,2.3,-4.7,,,,1,1,13.865909090909092,15.717117117117118,348.8,backtest,88.1,49.9,538.0,384.0,,,20.51764705882353
Leonard Fournette,RB,LSU,2017,4,1,75.5,70.7,96.7,,,,-21.2,4.8,,,,1,1,16.944444444444443,15.34625,289.8,backtest,29.4,76.3,146.0,298.0,240.0,4.51,17.04705882352941
Dalvin Cook,RB,Florida St.,2017,41,2,74.3,70.5,78.4,,,,-4.1,3.7,,,,1,1,17.579310344827583,15.010112359550565,337.8,backtest,69.5,48.7,488.0,421.0,210.0,4.49,19.87058823529412
Alvin Kamara,RB,Tennessee,2017,67,3,66.0,68.8,69.9,,,,-3.9,-2.8,,,,1,1,20.513777777777776,18.65333333333333,410.9,backtest,62.1,39.2,392.0,379.0,214.0,4.56,24.170588235294115
Kareem Hunt,RB,Toledo,2017,86,3,60.5,59.9,64.4,,,,-3.9,0.6,,,,1,1,17.908571428571427,12.424793388429752,308.90000000000003,backtest,57.2,30.2,403.0,423.0,216.0,4.62,18.17058823529412
James Conner,RB,Pittsburgh,2017,105,3,57.4,55.8,59.4,,,,-2.0,1.7,,,,1,1,12.568571428571428,14.36111111111111,280.0,backtest,55.9,40.7,302.0,324.0,233.0,4.65,16.470588235294116
Jeremy McNichols,RB,Boise St.,2017,162,5,54.7,58.7,46.2,,,,8.5,-4.1,,,,0,0,0.4,4.3118644067796605,73.60000000000001,backtest,73.4,53.0,474.0,406.0,214.0,4.49,4.329411764705883
Donnel Pumphrey,RB,San Diego St.,2017,132,4,51.3,51.4,52.9,,,,-1.6,-0.1,,,,0,0,,,0.0,backtest,54.1,14.0,231.0,256.0,176.0,4.48,0.0
D'Onta Foreman,RB,Texas,2017,89,3,47.8,47.6,63.6,,,,-15.8,0.2,,,,0,0,6.7700000000000005,7.345762711864407,131.0,backtest,11.7,59.8,75.0,402.0,233.0,,7.705882352941177
Marlon Mack,RB,South Florida,2017,143,4,47.2,52.3,50.3,,,,-3.2,-5.1,,,,1,0,11.5675,10.245098039215684,206.1,backtest,39.9,49.9,227.0,358.0,213.0,4.5,12.123529411764707
Samaje Perine,RB,Oklahoma,2017,114,4,44.4,42.1,57.2,,,,-12.8,2.3,,,,0,0,6.488888888888889,6.411111111111111,165.4,backtest,17.4,40.7,106.0,384.0,233.0,4.65,9.729411764705883
Joe Williams,RB,Utah,2017,121,4,43.7,44.5,55.5,,,,-11.8,-0.8,,,,0,0,,,0.0,backtest,14.6,65.4,107.0,399.0,210.0,4.41,0.0
Aaron Jones,RB,Texas-El Paso,2017,182,5,41.7,49.7,41.9,,,,-0.2,-8.0,,,,1,1,14.9,14.515322580645162,359.70000000000005,backtest,42.8,33.2,233.0,327.0,208.0,4.56,21.15882352941177
Elijah McGuire,RB,Louisiana,2017,188,6,40.6,44.2,40.7,,,,-0.1,-3.6,,,,0,0,,,85.9,backtest,39.8,45.0,238.0,342.0,214.0,4.53,5.052941176470589
T.J. Logan,RB,North Carolina,2017,179,5,39.7,43.3,42.6,,,,-2.9,-3.6,,,,0,0,1.6888888888888889,1.6888888888888889,10.9,backtest,30.4,57.7,244.0,458.0,196.0,4.37,0.6411764705882353
Wayne Gallman,RB,Clemson,2017,140,4,39.2,40.0,51.0,,,,-11.9,-0.9,,,,0,0,5.645714285714286,6.321818181818181,136.6,backtest,14.5,32.8,152.0,629.0,215.0,4.6,8.035294117647059
Jamaal Williams,RB,BYU,2017,134,4,39.1,37.1,52.4,,,,-13.3,2.0,,,,1,0,9.170454545454549,8.54561403508772,225.9,backtest,11.7,31.7,80.0,412.0,212.0,4.59,13.288235294117648
Tarik Cohen,RB,North Carolina A&T,2017,119,4,37.8,33.9,55.9,,,,-18.2,3.9,,,,1,1,11.457916666666668,11.127058823529412,235.6,backtest,,27.9,339.0,,179.0,4.42,13.858823529411763
Brian Hill,RB,Wyoming,2017,156,5,36.6,38.7,47.5,,,,-10.9,-2.1,,,,0,0,5.417647058823529,5.681818181818182,95.4,backtest,11.1,48.2,67.0,379.0,219.0,4.54,5.611764705882353
Matthew Dayes,RB,North Carolina St.,2017,252,7,31.3,36.4,28.4,,,,2.9,-5.1,,,,0,0,,,0.0,backtest,34.8,47.3,267.0,438.0,205.0,4.47,0.0
Elijah Hood,RB,North Carolina,2017,242,7,28.0,30.5,30.3,,,,-2.3,-2.5,,,,0,0,,,0.0,backtest,19.5,49.6,142.0,458.0,232.0,,0.0
Brandon Wilson,RB,Houston,2017,207,6,27.8,30.4,36.9,,,,-9.1,-2.6,,,,0,0,,,0.0,backtest,5.7,42.4,52.0,523.0,,,0.0
De'Angelo Henderson,RB,Coastal Carolina,2017,203,6,26.9,27.3,37.7,,,,-10.8,-0.4,,,,0,0,,,0.0,backtest,,48.5,,,208.0,4.48,0.0
Chris Carson,RB,Oklahoma St.,2017,249,7,25.8,32.1,29.0,,,,-3.2,-6.4,,,,1,0,,,232.6,backtest,16.5,39.4,128.0,465.0,218.0,4.58,13.682352941176472
Khalfani Muhammad,RB,California,2017,241,7,25.7,31.0,30.4,,,,-4.7,-5.2,,,,0,0,,,0.0,backtest,12.8,42.4,132.0,621.0,,,0.0
Devante Mays,RB,Utah St.,2017,238,7,22.6,27.4,31.0,,,,-8.4,-4.8,,,,0,0,,,1.1,backtest,1.2,42.4,8.0,383.0,,,0.0647058823529411
Saquon Barkley,RB,Penn St.,2018,2,1,94.9,94.7,98.7,,,,-3.8,0.2,,,,1,1,20.816129032258065,17.817924528301884,455.7,backtest,86.7,94.3,632.0,458.0,233.0,4.4,26.80588235294117
Rashaad Penny,RB,San Diego St.,2018,27,1,67.5,64.1,83.9,,,,-16.4,3.4,,,,0,0,6.2125,7.8047619047619055,121.7,backtest,32.1,65.8,135.0,252.0,220.0,4.46,7.158823529411765
Kerryon Johnson,RB,Auburn,2018,43,2,62.8,60.7,77.7,,,,-14.8,2.2,,,,0,0,9.25625,9.25625,139.4,backtest,31.9,55.5,194.0,382.0,213.0,,8.200000000000001
Sony Michel,RB,Georgia,2018,31,1,61.0,60.8,82.2,,,,-21.2,0.2,,,,1,0,9.91891891891892,8.409374999999999,210.6,backtest,18.0,43.0,96.0,305.0,214.0,4.54,12.388235294117647
Ronald Jones II,RB,USC,2018,38,2,59.6,58.1,79.5,,,,-19.9,1.5,,,,0,0,10.369444444444444,8.369642857142857,0.0,backtest,23.9,14.7,187.0,491.0,205.0,4.65,0.0
