rank,player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,position,production_score,production_status,rec_yards,receptions,team_pass_att,season_year,school_used,overall_rank
67,Antonio Gates Jr.,Michigan State,250,21,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,39
68,C.J. Williams,Stanford,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,40
69,Deion Colzie,Miami (OH),250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,41
70,Andre Greene Jr.,Virginia,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,42
71,Kobe Prentice,Baylor,250,21,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,43
72,Nathan Leacock,North Carolina,250,20,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,44
73,Anthony Evans III,Mississippi State,250,20,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,45
74,Christian Leary,Western Michigan,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,46
75,Donavon Greene,Virginia Tech,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,47
53,Raymond Cottrell,Texas A&M,250,20,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,48
30,Cyrus Allen,Cincinnati,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,49
29,Braylin Presley,Tulsa,250,21,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,50
28,Tobias Merriweather,Utah,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,51
27,Kaleb Brown,UAB,250,21,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,52
26,Jayden McGowan,Charlotte,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,53
25,Andrel Anthony,Duke,250,23,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,54
24,Jayden Thomas,Virginia,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,55
23,Rara Thomas,Troy,250,23,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,56
22,Brandon Inniss,Ohio State,250,20,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,57
47,Jalen Walthall,Incarnate Word,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,58
20,Jared Brown,South Carolina,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,59
19,Jaden Bray,West Virginia,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,60
18,Joseph Manjack IV,TCU,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,61
17,Max Tomzcak,Northern Illinois,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,62
16,E.J. Williams,Indiana,250,23,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,63
15,Ja'Mori Maclin,Kentucky,250,23,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,64
78,Ryan Niblett,Texas,250,20,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,65
77,Malik McClain,Arizona State,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,66
76,Kyron Ware-Hudson,Penn State,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,67
21,Jerand Bradley,Kansas State,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,68
51,Jayden Ballard,Wisconsin,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,69
50,Zavion Thomas,LSU,250,20,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,70
49,Emmanuel Henderson,Kansas,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,71
48,Hank Beatty,Illinois,250,21,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,72
46,Romello Brinson,SMU,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,73
45,Jalen Brown,Arkansas,250,20,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,74
44,Squirrel White,Florida State,250,21,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,75
43,Talyn Shettron,Oklahoma State,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,76
42,Cody Jackson,Tarleton State,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,77
31,Jeff Caldwell,Cincinnati,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,78
40,Chris Hilton,LSU,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,79
39,J.Michael Sturdivant,Florida,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,80
38,Dacari Collins,Louisville,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,81
37,JoJo Earle,UNLV,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,82
36,Ja'Varrius Johnson,Auburn,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,83
35,Justus Ross-Simmons,Syracuse,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,84
34,Kyion Grayes,California,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,85
33,Chase Roberts,BYU,250,MISSING,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,86
32,Malik Benson,Oregon,250,22,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,87
41,Kaden Wetjen,Iowa,250,23,38.30809187632361,0.1561837526472186,79.7,68.9,38.15190812367639,imputed,imputed,,WR,,,,,,,,88
79,Deion Burks,Oklahoma,121,22,38.13734864920957,3.104697298419142,75.0,68.9,35.03265135079043,observed,imputed,20.0,WR,,,,,,,,89
11,Dean Connors,Houston,250,22,38.12160527059117,28.79046960395864,,66.5,9.331135666632527,,imputed,,RB,39.28962991031956,final_season,254.0,34.0,377.0,2025.0,Houston,90
12,Jamal Haynes,Georgia Tech,250,22,37.66245138404362,28.79046960395864,,66.5,8.87198178008498,,imputed,,RB,37.97776166304085,final_season,257.0,33.0,394.0,2025.0,Georgia Tech,91
