rank,player_name,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,rec_yards,team_pass_attempts,age,age_estimated,weight
69,Talyn Shettron,Oklahoma State,250,45.0,0.0,45.0,,,365,MISSING,MISSING,195
70,Tobias Merriweather,California,250,45.0,0.0,45.0,,,505,MISSING,MISSING,195
71,Kaleb Brown,Iowa,250,45.0,0.0,45.0,,,286,21,FALSE,200
72,Jayden McGowan,Boston College,250,45.0,0.0,45.0,,,454,MISSING,MISSING,180
73,Jaron Glover,Michigan State,250,45.0,0.0,45.0,,,378,MISSING,MISSING,205
74,Justus Ross-Simmons,Colorado State,250,45.0,0.0,45.0,,,394,MISSING,MISSING,210
75,Jayden Ballard,Ohio State,250,45.0,0.0,45.0,,,408,22,TRUE,205
76,Christian Leary,Alabama,250,45.0,0.0,45.0,,,523,22,TRUE,180
77,JoJo Earle,Alabama,250,45.0,0.0,45.0,,,523,22,FALSE,185
78,Dacari Collins,Clemson,250,45.0,0.0,45.0,,,474,22,FALSE,215
79,Cody Jackson,Army,250,45.0,0.0,45.0,,,126,22,TRUE,200
80,Kyron Ware-Hudson,Penn State,250,45.0,0.0,45.0,,288,339,MISSING,MISSING,215
81,Malik McClain,USC,250,45.0,0.0,45.0,,,420,22,TRUE,245
82,Jerand Bradley,Boston College,250,45.0,0.0,45.0,,,454,22,FALSE,223
83,Andrel Anthony,Duke,250,45.0,0.0,45.0,,,506,23,FALSE,186
84,Jayden Thomas,Georgia Tech,250,45.0,0.0,45.0,,,394,22,FALSE,220
85,Rara Thomas,Georgia,250,45.0,0.0,45.0,,,417,23,FALSE,208
86,Jared Brown,Coastal Carolina,250,45.0,0.0,45.0,,,399,22,TRUE,195
87,Jaden Bray,Oklahoma State,250,45.0,0.0,45.0,,,365,22,TRUE,209
88,Joseph Manjack IV,,250,45.0,0.0,45.0,,,,22,TRUE,
89,Max Tomzcak,,250,45.0,0.0,45.0,,,,MISSING,MISSING,
90,E.J. Williams,Clemson,250,45.0,0.0,45.0,,,474,23,TRUE,203
91,Ja'Mori Maclin,,250,45.0,0.0,45.0,,,,23,TRUE,
92,Ja'Varrius Johnson,Auburn,250,45.0,0.0,45.0,,,362,MISSING,MISSING,180
93,Donavon Greene,Virginia Tech,250,45.0,0.0,45.0,,267,319,MISSING,MISSING,196
94,Jalil Farooq,Maryland,250,43.4,-1.6,45.0,41.4,545,491,23,FALSE,213
95,Noah Thomas,Georgia,196,42.6,-4.4,47.0,36.9,254,417,21,FALSE,205
96,Brandon Inniss,Ohio State,250,42.3,-2.7,45.0,38.9,271,408,20,FALSE,199
97,London Humphreys,Georgia,250,42.3,-2.7,45.0,38.8,276,417,20,FALSE,200
98,Ayden Williams,Mississippi State,250,42.2,-2.8,45.0,38.6,252,390,20,TRUE,205
99,Colbie Young,Georgia,250,42.0,-3.0,45.0,38.2,358,417,23,FALSE,215
100,Deion Colzie,Miami (OH),250,40.3,-4.7,45.0,34.2,178,368,22,TRUE,211
101,Kaden Wetjen,Iowa,250,40.2,-4.8,45.0,34.0,151,286,23,FALSE,196
102,Jaden Greathouse,Notre Dame,250,39.0,-6.0,45.0,31.2,73,322,20,FALSE,212
103,Hykeem Williams,Colorado,250,38.8,-6.2,45.0,30.9,81,356,21,FALSE,220
104,Nathan Leacock,North Carolina,250,38.3,-6.7,45.0,29.6,48,355,20,TRUE,217
105,Ryan Niblett,Texas,250,38.3,-6.7,45.0,29.7,60,420,20,FALSE,187
106,Squirrel White,Florida State,250,38.3,-6.7,45.0,29.7,52,339,21,FALSE,170
107,Jaquaize Pettaway,East Carolina,250,37.8,-7.2,45.0,28.5,32,440,20,TRUE,194
