player_name,position,school,projected_pick,age,rec_yards,team_pass_attempts,weight,draft_capital_score,breakout_score,athletic_score,slap_score,delta,tier
Shelton Sampson Jr.,WR,Louisiana,250,20,537.0,342.0,195.0,34.112149532710276,72.91666666666666,50.0,50.07690809968847,15.96475856697819,Below Avg
Cyrus Allen,WR,Cincinnati,250,22,660.0,363.0,180.0,34.112149532710276,66.66666666666666,50.0,47.88940809968847,13.77725856697819,Below Avg
Harrison Wallace III,WR,Ole Miss,250,22,934.0,523.0,195.0,34.112149532710276,65.625,50.0,47.52482476635514,13.412675233644862,Below Avg
Jordan Dwyer,WR,TCU,250,MISSING,730.0,460.0,195.0,34.112149532710276,64.58333333333334,50.0,47.16024143302181,13.048091900311533,Below Avg
Jalen Walthall,WR,Incarnate Word,250,MISSING,847.0,540.0,180.0,34.112149532710276,63.541666666666664,50.0,46.79565809968847,12.68350856697819,Below Avg
Malik Benson,WR,Oregon,250,22,719.0,437.0,195.0,34.112149532710276,60.416666666666664,50.0,45.70190809968847,11.58975856697819,Below Avg
Kendrick Law,WR,Kentucky,250,22,540.0,367.0,205.0,34.112149532710276,57.291666666666664,50.0,44.60815809968847,10.49600856697819,Below Avg
Jeff Caldwell,WR,Cincinnati,250,MISSING,478.0,363.0,215.0,34.112149532710276,56.25,50.0,44.24357476635514,10.131425233644862,Below Avg
Trebor Pena,WR,Penn State,250,23,552.0,339.0,186.0,34.112149532710276,55.208333333333336,50.0,43.87899143302181,9.766841900311533,Below Avg
Romello Brinson,WR,SMU,250,22,638.0,460.0,190.0,34.112149532710276,52.083333333333336,50.0,42.78524143302181,8.673091900311533,Below Avg
Zavion Thomas,WR,LSU,250,20,488.0,443.0,192.0,34.112149532710276,50.0,50.0,42.05607476635514,7.943925233644862,Below Avg
Barion Brown,WR,LSU,250,21,532.0,443.0,185.0,34.112149532710276,48.95833333333333,50.0,41.6914914330218,7.579341900311526,Below Avg
Rara Thomas,WR,Troy,250,23,629.0,433.0,208.0,34.112149532710276,47.91666666666667,50.0,41.326908099688474,7.2147585669781975,Below Avg
Joseph Manjack IV,WR,TCU,250,22,579.0,460.0,190.0,34.112149532710276,46.875,50.0,40.96232476635514,6.850175233644862,Below Avg
Mikey Matthews,WR,UCLA,250,20,348.0,361.0,180.0,34.112149532710276,43.75,50.0,39.86857476635514,5.756425233644862,Below Avg
J.Michael Sturdivant,WR,Florida,250,22,406.0,374.0,213.0,34.112149532710276,42.70833333333333,50.0,39.5039914330218,5.391841900311526,Below Avg
Malik McClain,WR,Arizona State,250,22,441.0,430.0,245.0,34.112149532710276,41.66666666666667,50.0,39.139408099688474,5.0272585669781975,Below Avg
Jalil Farooq,WR,Maryland,250,23,545.0,491.0,213.0,34.112149532710276,40.625,50.0,38.77482476635514,4.662675233644862,Below Avg
E.J. Williams,WR,Indiana,250,23,438.0,406.0,203.0,34.112149532710276,39.58333333333333,50.0,38.4102414330218,4.298091900311526,Below Avg
Kyron Ware-Hudson,WR,Penn State,250,MISSING,288.0,339.0,215.0,34.112149532710276,38.54166666666667,50.0,38.045658099688474,3.9335085669781975,Below Avg
Donavon Greene,WR,Virginia Tech,250,MISSING,267.0,319.0,196.0,34.112149532710276,37.5,50.0,37.68107476635514,3.568925233644862,Below Avg
Justus Ross-Simmons,WR,Syracuse,250,MISSING,312.0,408.0,210.0,34.112149532710276,35.41666666666667,50.0,36.951908099688474,2.8397585669781975,Below Avg
Kobe Prentice,WR,Baylor,250,21,380.0,510.0,190.0,34.112149532710276,34.375,50.0,36.58732476635514,2.475175233644862,Below Avg
Brandon Inniss,WR,Ohio State,250,20,271.0,408.0,199.0,34.112149532710276,33.33333333333333,50.0,36.2227414330218,2.110591900311526,Below Avg
London Humphreys,WR,Georgia,250,20,276.0,417.0,200.0,34.112149532710276,32.29166666666667,50.0,35.858158099688474,1.7460085669781975,Below Avg
Ayden Williams,WR,Mississippi State,250,20,252.0,390.0,205.0,34.112149532710276,31.25,50.0,35.49357476635514,1.3814252336448618,Below Avg
Colbie Young,WR,Georgia,250,23,358.0,417.0,215.0,34.112149532710276,30.208333333333332,50.0,35.1289914330218,1.016841900311526,Below Avg
Dillon Bell,WR,Georgia,250,MISSING,268.0,417.0,210.0,34.112149532710276,29.166666666666668,50.0,34.764408099688474,0.6522585669781975,Below Avg
Kaleb Brown,WR,UAB,250,21,255.0,438.0,200.0,34.112149532710276,27.083333333333332,50.0,34.0352414330218,-0.0769080996884739,Below Avg
JoJo Earle,WR,UNLV,250,22,258.0,424.0,185.0,34.112149532710276,26.041666666666668,50.0,33.670658099688474,-0.4414914330218025,Below Avg
Tyler Brown,WR,Clemson,250,18,191.0,474.0,,34.112149532710276,25.0,50.0,33.30607476635514,-0.8060747663551382,Below Avg
Jayden Ballard,WR,Wisconsin,250,22,150.0,272.0,205.0,34.112149532710276,23.958333333333336,50.0,32.94149143302181,-1.1706580996884668,Below Avg
Jerand Bradley,WR,Kansas State,250,22,184.0,342.0,223.0,34.112149532710276,22.916666666666664,50.0,32.57690809968847,-1.5352414330218096,Below Avg
Jalen Brown,WR,Arkansas,250,20,167.0,381.0,202.0,34.112149532710276,21.875,50.0,32.21232476635514,-1.8998247663551382,Below Avg
Dacari Collins,WR,Louisville,250,22,219.0,418.0,215.0,34.112149532710276,20.833333333333336,50.0,31.847741433021806,-2.2644080996884703,Below Avg
Deion Colzie,WR,Miami (OH),250,22,178.0,368.0,211.0,34.112149532710276,19.791666666666664,50.0,31.48315809968847,-2.628991433021806,Below Avg
Kaden Wetjen,WR,Iowa,250,23,151.0,286.0,196.0,34.112149532710276,18.75,50.0,31.118574766355138,-2.993574766355138,Below Avg
Andrel Anthony,WR,Duke,250,23,246.0,506.0,186.0,34.112149532710276,17.708333333333336,50.0,30.753991433021806,-3.3581580996884703,Below Avg
