player_name,draft_year,pick,breakout_age,peak_dominator,score_current,score_option_a,score_option_b,score_option_c,best_ppr,hit24,dc_score
Chris Conley,2015,76,19.0,131.81,90,81.9543,90.0,87.10368571428572,156.5,0,67.21839332711826
Ty Montgomery,2015,94,19.0,301.29,90,87.0387,90.0,91.46174285714285,179.3,0,62.262482221264236
Jamison Crowder,2015,105,19.0,253.6,90,85.608,90.0,90.23542857142857,197.7,0,59.41186469623246
Justin Hardy,2015,107,19.0,215.58,90,84.4674,90.0,89.25777142857143,69.1,0,58.906016650653214
Riley Ridley,2019,126,19.0,200.22,90,84.0066,90.0,88.8628,13.5,0,54.26721625603232
Hunter Renfrow,2019,149,19.0,92.91,90,81.0,90.0,86.1034,272.9,1,48.99440866994782
Tyrie Cleveland,2020,252,19.0,20.8,90,81.0,90.0,85.0,12.3,0,28.42591925759298
Jaylen Waddle,2021,6,19.0,17.5,90,81.0,90.0,85.0,267.40000000000003,1,95.11104923064929
Rashod Bateman,2021,27,19.0,37.0,90,81.0,90.0,85.0,201.6,0,83.87932650686992
KeeSean Johnson,2019,174,19.0,321.39,90,87.6417,90.0,91.9786,46.0,0,43.60345922205765
Travis Fulgham,2019,184,19.0,226.1,90,84.783,90.0,89.52828571428572,115.9,0,41.53070215783976
Scott Miller,2019,208,19.0,273.09,90,86.1927,90.0,90.7366,121.0,0,36.72342304569737
Romeo Doubs,2022,132,19.0,34.5,90,81.0,90.0,85.0,213.8,0,52.85873645151093
Khalil Shakir,2022,148,19.0,42.5,90,81.0,90.0,85.0,217.9,0,49.21691753018262
Ryan Switzer,2017,133,19.0,163.33,90,82.8999,90.0,87.9142,69.4,0,52.626376413965254
Jehu Chesson,2017,139,19.0,155.66,90,82.6698,90.0,87.71697142857143,3.8,0,51.245903565087225
Shelton Gibson,2017,166,19.0,173.43,90,83.2029,90.0,88.17391428571429,5.800000000000001,0,45.29445820618241
Cooper Kupp,2017,69,19.5,,90,85.5,85.0,89.5,554.8,1,69.2641833889955
Jalen Tolbert,2022,88,19.0,48.0,90,81.0,90.0,85.0,152.0,0,63.870755038336846
David Bell,2022,99,19.0,33.7,90,81.0,90.0,85.0,62.1,0,60.95185845795279
Bo Melton,2022,229,19.0,35.8,90,81.0,90.0,85.0,56.5,0,32.687727412828664
Dareke Young,2022,233,19.0,102.13,90,81.0639,90.0,86.34048571428572,6.5,0,31.93525043772044
Quentin Johnston,2023,21,19.0,27.2,90,81.0,90.0,85.0,174.70000000000002,0,86.55153502322084
Zay Flowers,2023,22,19.0,36.3,90,81.0,90.0,85.0,235.4,1,86.0877712199221
Aaron Burbridge,2016,213,19.0,277.05,90,86.3115,90.0,90.83842857142858,15.8,0,35.74901134195683
Charone Peake,2016,241,19.0,106.63,90,81.1989,90.0,86.4562,37.6,0,30.444862386220947
Kyle Philips,2022,163,19.0,27.2,90,81.0,90.0,85.0,33.1,0,45.936531045873316
Treylon Burks,2022,18,19.0,39.7,90,81.0,90.0,85.0,88.10000000000001,0,87.9960967734834
Christian Watson,2022,34,19.0,80.0,90,81.0,90.0,85.77142857142857,164.10000000000002,0,81.03375665926983
Tyquan Thornton,2022,50,19.0,33.3,90,81.0,90.0,85.0,66.3,0,75.2623245415211
George Pickens,2022,52,19.0,23.3,90,81.0,90.0,85.0,218.3,0,74.59433316596373
Tank Dell,2023,69,19.0,35.0,90,81.0,90.0,85.0,165.0,0,69.2641833889955
Tajae Sharpe,2016,140,19.0,266.46,90,85.9938,90.0,90.56611428571429,105.3,0,51.018045072501344
Jayden Reed,2023,50,19.0,31.1,90,81.0,90.0,85.0,225.6,1,75.2623245415211
Rashee Rice,2023,55,19.0,32.9,90,81.0,90.0,85.0,271.2,1,73.61036829159038
Alec Pierce,2022,53,19.0,26.2,90,81.0,90.0,85.0,161.4,0,74.26400482294514
Skyy Moore,2022,54,19.0,39.2,90,81.0,90.0,85.0,62.8,0,73.9360365676696
Chris Olave,2022,11,19.0,34.7,90,81.0,90.0,85.0,231.3,1,91.78610696647006
Marquise Brown,2019,25,19.0,329.5,90,87.885,90.0,92.18714285714286,226.3,1,84.74230353324101
Deebo Samuel,2019,36,19.0,199.1,90,83.973,90.0,88.834,385.1,1,80.26299861749231
A.J. Brown,2019,51,19.0,329.5,90,87.885,90.0,92.18714285714286,333.2,1,74.92708446694223
Amon-Ra St. Brown,2021,112,19.0,25.2,90,81.0,90.0,85.0,386.5,1,57.65686444404836
Rondale Moore,2021,49,19.0,31.5,90,81.0,90.0,85.0,119.3,0,75.60012235068056
Rashad Greene,2015,139,19.0,176.16,90,83.2848,90.0,88.24411428571429,40.3,0,51.245903565087225
Kaelin Clay,2015,184,19.0,104.04,90,81.1212,90.0,86.3896,23.4,0,41.53070215783976
