name,r_pearson,r_spearman,r2,p_value,n
1/pick (linear inverse),0.4155010226067373,0.5523500275690945,0.17264109978724443,5.837201050777023e-20,444
1/sqrt(pick) [current],0.5086410234037058,0.5523500275690945,0.25871569068916916,1.3691636813221111e-30,444
1/log(pick+1),0.49968295920503647,0.5523500275690945,0.24968305971990215,2.0252909485874234e-29,444
-log(pick),0.5565395579455901,0.5523500275690945,0.3097362795582728,1.793327292941421e-37,444
pick^(-0.3),0.5349306138355284,0.5523500275690945,0.2861507616184552,3.1283512034228712e-34,444
pick^(-0.5) [=sqrt],0.5086410234037059,0.5523500275690945,0.2587156906891693,1.3691636813220183e-30,444
pick^(-0.7),0.4743732958727841,0.5523500275690945,0.22503002383720797,2.7009405460879825e-26,444
pick^(-1.0) [=1/pick],0.4155010226067373,0.5523500275690945,0.17264109978724443,5.837201050777023e-20,444
262-pick (linear),0.5310778536878679,0.5523500275690945,0.2820436866777124,1.1195200730193505e-33,444
log(262/pick),0.5565395579455901,0.5523500275690945,0.3097362795582728,1.793327292941421e-37,444
exp(-pick/50),0.5435431855682408,0.5523500275690945,0.29543919457767104,1.703848479288564e-35,444
exp(-pick/100),0.5570793846007466,0.5523500275690945,0.31033744074714653,1.4778093698187799e-37,444
