player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,has_ras,best_ppg,log_pick,round,p_observed,ipw,ipw_stable,p_missing,ps_stratum,dc_raw,dc_norm,breakout_score,breakout_norm,ras_norm,slap_mnar,athletic_method,ras_naive,ras_naive_norm,slap_naive
Collin Johnson,WR,2020,165,3,108.0,59.20000088214874,0,0,,19.0,0,3.482352993067573,5.10594547390058,Rd 6-7,0.8723924254929786,1.1462731344038342,1.1462731344038342,0.12760757450702145,Q2,0.0778498944161523,41.00738376886312,90,63.62218280635726,,50.3246809723107,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,50.271455866656595
Quintez Cephus,WR,2020,166,3,100.0,66.89999985694885,0,0,4.5,21.0,1,3.9352941092322853,5.111987788356543,Rd 6-7,0.8725829555707825,1.1460228435769413,1.1460228435769413,0.12741704442921759,Q2,0.07761505257063328,40.96020907788379,60,46.24063136837544,23.718478285073886,40.22209726063438,RAS observed,4.5,21.428973691584748,39.87867157161101
John Hightower,WR,2020,168,1,142.0,28.800000227987766,0,0,8.02,23.0,1,1.6941176604698687,5.123963979403259,Rd 6-7,0.8729598784626684,1.1455280187229868,1.1455280187229868,0.12704012153733155,Q2,0.07715167498104596,40.867126456482914,30,28.85907993039362,53.18225701930987,38.5115797567757,RAS observed,8.02,53.45947810804293,38.55316292008566
Isaiah Coulter,WR,2020,171,1,226.0,0.0,0,0,6.68,,1,0.0,5.141663556502659,Rd 6-7,0.8735151868478281,1.1447997871778346,1.1447997871778346,0.12648481315217186,Q2,0.07647191129018725,40.7305765073699,25,25.96215469072998,41.96593216025413,35.746932219478566,RAS observed,6.68,41.26604744950487,35.64194951286618
Darnell Mooney,WR,2020,173,3,26.0,219.70000064373016,0,0,7.04,19.0,1,12.923529449631186,5.153291594497778,Rd 6-7,0.8738788752658508,1.1443233476673533,1.1443233476673533,0.12612112473414921,Q2,0.07602859212697055,40.641523193707926,90,63.62218280635726,44.97927316716463,49.335416554153696,RAS observed,7.04,44.541894492097185,49.26980975289358
K.J. Osborn,WR,2020,176,2,42.0,165.6,0,0,,,0,9.741176470588234,5.170483995038151,Rd 6-7,0.874414959586107,1.1436217885308562,1.1436217885308562,0.125585040413893,Q2,0.07537783614444091,40.51080027117707,25,25.96215469072998,,34.51675829203287,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,36.84215427734403
Donovan Peoples-Jones,WR,2020,187,3,40.0,167.1,0,0,9.63,19.0,1,9.829411764705881,5.231108616854587,Rd 6-7,0.8762897713835339,1.1411750229848576,1.1411750229848576,0.12371022861646609,Q2,0.07312724241271307,40.058704250641924,90,63.62218280635726,66.6585876335485,52.29590425257828,RAS observed,9.63,68.10979404852523,52.513585214824786
Quez Watkins,WR,2020,200,3,60.0,121.49999976158142,0,0,7.4,20.0,1,7.14705880950479,5.298317366548036,Rd 6-7,0.8783400509756246,1.1385112165718054,1.1385112165718054,0.12165994902437535,Q2,0.07071067811865475,39.57326830309206,75,54.931407087366345,47.99261417407513,46.21151875823552,RAS observed,7.4,47.8177415346895,46.18528786232768
James Proche,WR,2020,201,3,132.0,36.20000004768372,0,0,4.04,20.0,1,2.129411767510807,5.303304908059076,Rd 6-7,0.8784910288918907,1.1383155514534713,1.1383155514534713,0.12150897110810936,Q2,0.07053456158585983,39.53789026817417,75,54.931407087366345,19.868098109577137,41.975152331101874,RAS observed,4.04,17.24316913716123,41.58141298523949
Isaiah Hodgins,WR,2020,207,1,56.0,126.0,0,0,7.56,19.0,1,7.411764705882353,5.332718793265369,Rd 6-7,0.8793781363066709,1.1371672306977436,1.1371672306977436,0.12062186369332902,Q1-Low,0.06950480468569159,39.33103418832219,90,63.62218280635726,49.33187684381313,49.33306260295811,RAS observed,7.56,49.27367355361942,49.32433210942905
