player_name,position,college,draft_year,draft_pick,projected_pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,draft_capital_score,breakout_score,athletic_score,slap_score,delta,tier,data_type
Dane Key,WR,Nebraska,2026,,202.0,22,452.0,378.0,210.0,,,,72.9,44.8,50.0,59.6,-13.3,Average,2026_prospect
Cody Jackson,WR,Tarleton State,2026,,250.0,22,799.0,126.0,200.0,,,,34.1,100.0,50.0,59.6,25.4,Average,2026_prospect
Caullin Lacy,WR,Louisville,2026,,231.0,23,635.0,418.0,190.0,,,,68.2,51.0,50.0,59.5,-8.7,Average,2026_prospect
Eli Heidenreich,WR,Navy,2026,,250.0,23,941.0,182.0,206.0,,,,34.1,99.0,50.0,59.2,25.1,Average,2026_prospect
Desmond Reid,RB,Pittsburgh,2026,,250.0,21,317.0,464.0,175.0,,,,38.0,92.5,50.0,58.9,20.9,Average,2026_prospect
Amare Thomas,WR,Houston,2026,,250.0,19,966.0,377.0,205.0,,,,34.1,97.9,50.0,58.8,24.7,Average,2026_prospect
Dean Connors,RB,Houston,2026,,250.0,22,254.0,377.0,206.0,,,,38.0,90.0,50.0,58.0,20.0,Average,2026_prospect
Aaron Anderson,WR,LSU,2026,,199.0,22,398.0,443.0,188.0,,,,73.8,36.5,50.0,57.2,-16.7,Average,2026_prospect
Jamal Haynes,RB,Georgia Tech,2026,,250.0,22,257.0,394.0,190.0,,,,38.0,87.5,50.0,57.1,19.1,Average,2026_prospect
Anthony Evans III,WR,Mississippi State,2026,,250.0,20,831.0,390.0,180.0,,,,34.1,90.6,50.0,56.3,22.2,Average,2026_prospect
Griffin Wilde,WR,Northwestern,2026,,250.0,MISSING,880.0,378.0,200.0,,,,34.1,88.5,50.0,55.5,21.4,Average,2026_prospect
Hank Beatty,WR,Illinois,2026,,250.0,21,864.0,372.0,185.0,,,,34.1,86.5,50.0,54.8,20.7,Below Avg,2026_prospect
Noah Thomas,WR,Georgia,2026,,196.0,21,254.0,417.0,205.0,,,,74.8,28.1,50.0,54.7,-20.0,Below Avg,2026_prospect
Kaden Feagin,RB,Illinois,2026,,250.0,21,188.0,372.0,250.0,,,,38.0,77.5,50.0,53.6,15.6,Below Avg,2026_prospect
Sedrick Alexander,RB,Vanderbilt,2026,,250.0,MISSING,200.0,400.0,200.0,,,,38.0,75.0,50.0,52.7,14.8,Below Avg,2026_prospect
Emmanuel Henderson,WR,Kansas,2026,,250.0,22,766.0,345.0,190.0,,,,34.1,80.2,50.0,52.6,18.5,Below Avg,2026_prospect
Chase Roberts,WR,BYU,2026,,250.0,MISSING,802.0,403.0,280.0,,,,34.1,79.2,50.0,52.3,18.2,Below Avg,2026_prospect
C.J. Williams,WR,Stanford,2026,,250.0,MISSING,757.0,391.0,159.0,,,,34.1,77.1,50.0,51.5,17.4,Below Avg,2026_prospect
Byron Cardwell,RB,San Diego State,2026,,250.0,22,108.0,290.0,215.0,,,,38.0,70.0,50.0,51.0,13.0,Below Avg,2026_prospect
Kadarius Calloway,RB,New Mexico State,2026,,250.0,22,175.0,472.0,220.0,,,,38.0,67.5,50.0,50.1,12.1,Below Avg,2026_prospect
Shelton Sampson Jr.,WR,Louisiana,2026,,250.0,20,537.0,342.0,195.0,,,,34.1,72.9,50.0,50.1,16.0,Below Avg,2026_prospect
Rueben Owens,RB,Texas A&M,2026,,250.0,MISSING,130.0,408.0,215.0,,,,38.0,62.5,50.0,48.4,10.4,Below Avg,2026_prospect
Cyrus Allen,WR,Cincinnati,2026,,250.0,22,660.0,363.0,180.0,,,,34.1,66.7,50.0,47.9,13.8,Below Avg,2026_prospect
Harrison Wallace III,WR,Ole Miss,2026,,250.0,22,934.0,523.0,195.0,,,,34.1,65.6,50.0,47.5,13.4,Below Avg,2026_prospect
Seth McGowan,RB,Kentucky,2026,,250.0,23,126.0,367.0,215.0,,,,38.0,60.0,50.0,47.5,9.5,Below Avg,2026_prospect
Jordan Dwyer,WR,TCU,2026,,250.0,MISSING,730.0,460.0,195.0,,,,34.1,64.6,50.0,47.2,13.0,Below Avg,2026_prospect
Jalen Walthall,WR,Incarnate Word,2026,,250.0,MISSING,847.0,540.0,180.0,,,,34.1,63.5,50.0,46.8,12.7,Below Avg,2026_prospect
Dominic Richardson,RB,Tulsa,2026,,250.0,23,130.0,409.0,210.0,,,,38.0,55.0,50.0,45.7,7.8,Below Avg,2026_prospect
Malik Benson,WR,Oregon,2026,,250.0,22,719.0,437.0,195.0,,,,34.1,60.4,50.0,45.7,11.6,Below Avg,2026_prospect
Kendrick Law,WR,Kentucky,2026,,250.0,22,540.0,367.0,205.0,,,,34.1,57.3,50.0,44.6,10.5,Below Avg,2026_prospect
Jeff Caldwell,WR,Cincinnati,2026,,250.0,MISSING,478.0,363.0,215.0,,,,34.1,56.2,50.0,44.2,10.1,Below Avg,2026_prospect
Rahsul Faison,RB,South Carolina,2026,,250.0,25,118.0,342.0,218.0,,,,38.0,50.0,50.0,44.0,6.0,Below Avg,2026_prospect
Trebor Pena,WR,Penn State,2026,,250.0,23,552.0,339.0,186.0,,,,34.1,55.2,50.0,43.9,9.8,Below Avg,2026_prospect
Richard Reese,RB,Stephen F. Austin,2026,,250.0,20,94.0,510.0,175.0,,,,38.0,47.5,50.0,43.1,5.1,Below Avg,2026_prospect
Romello Brinson,WR,SMU,2026,,250.0,22,638.0,460.0,190.0,,,,34.1,52.1,50.0,42.8,8.7,Below Avg,2026_prospect
Zavion Thomas,WR,LSU,2026,,250.0,20,488.0,443.0,192.0,,,,34.1,50.0,50.0,42.1,7.9,Below Avg,2026_prospect
Barion Brown,WR,LSU,2026,,250.0,21,532.0,443.0,185.0,,,,34.1,49.0,50.0,41.7,7.6,Below Avg,2026_prospect
Rara Thomas,WR,Troy,2026,,250.0,23,629.0,433.0,208.0,,,,34.1,47.9,50.0,41.3,7.2,Below Avg,2026_prospect
Joseph Manjack IV,WR,TCU,2026,,250.0,22,579.0,460.0,190.0,,,,34.1,46.9,50.0,41.0,6.9,Below Avg,2026_prospect
Kentrel Bullock,RB,South Alabama,2026,,250.0,23,53.0,310.0,205.0,,,,38.0,40.0,50.0,40.5,2.5,Below Avg,2026_prospect
Mikey Matthews,WR,UCLA,2026,,250.0,20,348.0,361.0,180.0,,,,34.1,43.8,50.0,39.9,5.8,Below Avg,2026_prospect
Jalen Berger,RB,UCLA,2026,,250.0,24,70.0,361.0,215.0,,,,38.0,37.5,50.0,39.6,1.6,Below Avg,2026_prospect
J.Michael Sturdivant,WR,Florida,2026,,250.0,22,406.0,374.0,213.0,,,,34.1,42.7,50.0,39.5,5.4,Below Avg,2026_prospect
Malik McClain,WR,Arizona State,2026,,250.0,22,441.0,430.0,245.0,,,,34.1,41.7,50.0,39.1,5.0,Below Avg,2026_prospect
Jalil Farooq,WR,Maryland,2026,,250.0,23,545.0,491.0,213.0,,,,34.1,40.6,50.0,38.8,4.7,Below Avg,2026_prospect
Jaylon Glover,RB,UNLV,2026,,250.0,21,51.0,424.0,205.0,,,,38.0,35.0,50.0,38.7,0.8,Below Avg,2026_prospect
E.J. Williams,WR,Indiana,2026,,250.0,23,438.0,406.0,203.0,,,,34.1,39.6,50.0,38.4,4.3,Below Avg,2026_prospect
Kyron Ware-Hudson,WR,Penn State,2026,,250.0,MISSING,288.0,339.0,215.0,,,,34.1,38.5,50.0,38.0,3.9,Below Avg,2026_prospect
Andrew Paul,RB,Jacksonville State,2026,,250.0,21,29.0,328.0,215.0,,,,38.0,32.5,50.0,37.9,-0.1,Below Avg,2026_prospect
Donavon Greene,WR,Virginia Tech,2026,,250.0,MISSING,267.0,319.0,196.0,,,,34.1,37.5,50.0,37.7,3.6,Below Avg,2026_prospect
Logan Diggs,RB,Ole Miss,2026,,250.0,23,56.0,523.0,215.0,,,,38.0,30.0,50.0,37.0,-1.0,Below Avg,2026_prospect
