player_name,school,projected_pick,age,slap_score,dc_score,production_score,ras_score,delta_vs_dc,production_status,ras_status
Jeremiyah Love,Notre Dame,10,20,77.836335514298,92.39513479671196,61.896480331262936,66.5,-14.558799282413958,observed,imputed
Jonah Coleman,Washington,56,22,66.4263991672599,73.28694247866397,56.59407979407979,66.5,-6.860543311404072,observed,imputed
Emmett Johnson,Nebraska,83,21,64.9716743466364,65.24308414300828,63.92894935752078,66.5,-0.27140979637187,observed,imputed
Nick Singleton,Penn State,118,21,52.608349147253826,56.18551835350469,41.54454277286136,66.5,-3.577169206250865,observed,imputed
Jadarian Price,Notre Dame,79,21,48.85037611706085,66.36371289664757,16.26719905353446,66.5,-17.513336779586723,observed,imputed
Mike Washington Jr.,Arkansas,163,22,44.97056211086316,45.936531045873316,34.36370453693288,66.5,-0.965968935010153,observed,imputed
Demond Claiborne,Wake Forest,136,21,43.392198124923766,51.93324682456018,21.28735632183908,66.5,-8.541048699636413,observed,imputed
Adam Randall,Clemson,180,21,43.09986364868711,42.354537423956494,34.13598553345389,66.5,0.7453262247306185,observed,imputed
Kaytron Allen,Penn State,124,22,40.97213024284475,54.7423430815597,10.359882005899705,66.5,-13.770212838714954,observed,imputed
Desmond Reid,Pittsburgh,250,21,39.785852618071274,28.79046960395864,44.0446223316913,66.5,10.995383014112633,observed,imputed
Dean Connors,Houston,250,22,38.12160527059117,28.79046960395864,39.28962991031956,66.5,9.331135666632527,observed,imputed
Jamal Haynes,Georgia Tech,250,22,37.66245138404362,28.79046960395864,37.97776166304085,66.5,8.87198178008498,observed,imputed
Roman Hemby,Indiana,197,23,36.5851924322591,38.89903839489586,20.45906638517476,66.5,-2.313845962636762,observed,imputed
Kaden Feagin,Illinois,250,21,35.6001272750976,28.79046960395864,32.08540706605223,66.5,6.809657671138957,observed,imputed
J'Mari Taylor,Virginia,245,MISSING,35.166169156502306,29.706728556907052,29.53658536585366,66.5,5.459440599595254,observed,imputed
Richard Reese,Stephen F. Austin,250,20,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Samuel Singleton Jr.,Kansas State,250,MISSING,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
TreVonte Citizen,LSU,250,MISSING,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Quinten Joyner,Texas Tech,250,20,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Armoni Goodwin,UT Martin,250,22,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Chip Trayanum,Toledo,250,23,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Derrick Davis Jr.,LSU,250,MISSING,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Barika Kpeenu,North Dakota State,250,MISSING,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
L.J. Johnson Jr.,Texas State,250,19,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Alton McCaskill IV,Houston,250,22,34.87023480197932,28.79046960395864,30.0,66.5,6.079765198020681,observed,imputed
Noah Whittington,Oregon,183,23,34.49551830923864,41.73601754906463,10.435741527732374,66.5,-7.240499239825986,observed,imputed
Sedrick Alexander,Vanderbilt,250,MISSING,34.40356813531265,28.79046960395864,28.666666666666664,66.5,5.613098531354012,observed,imputed
Jaydn Ott,California,250,22,33.94236123876093,28.79046960395864,27.348932676518885,66.5,5.15189163480229,observed,imputed
Byron Cardwell,San Diego State,250,22,31.673223307726445,28.79046960395864,20.86568144499179,66.5,2.882753703767804,observed,imputed
Kadarius Calloway,New Mexico State,250,22,31.637890169210955,28.79046960395864,20.76472962066182,66.5,2.847420565252314,observed,imputed
Rueben Owens,Texas A&M,250,MISSING,30.522195586293044,28.79046960395864,17.577030812324928,66.5,1.7317259823344031,observed,imputed
Seth McGowan,Kentucky,250,23,30.315993203432548,28.79046960395864,16.98788114700921,66.5,1.5255235994739067,observed,imputed
Dominic Richardson,Tulsa,250,23,29.825328526510695,28.79046960395864,15.585982070089653,66.5,1.0348589225520541,observed,imputed
Rahsul Faison,South Carolina,250,25,29.610468720107974,28.79046960395864,14.972096908939015,66.5,0.819999116149333,observed,imputed
C.J. Donaldson,Ohio State,242,MISSING,29.47357507385218,30.25989524574358,12.481792717086837,66.5,-0.786320171891397,observed,imputed
Robert Henry Jr.,UTSA,250,MISSING,29.161286256118025,28.79046960395864,13.688718440396292,66.5,0.37081665215938386,observed,imputed
Jamarion Miller,Alabama,246,21,28.97583163261598,29.522912468546167,12.112501138122552,66.5,-0.5470808359301884,observed,imputed
Savion Red,Nevada,250,21,28.463021687225222,28.79046960395864,11.69367681498829,66.5,-0.3274479167334192,observed,imputed
Jalen Berger,UCLA,250,24,27.023235725340356,28.79046960395864,7.580002638174384,66.5,-1.7672338786182848,observed,imputed
Kentrel Bullock,South Alabama,250,23,26.996406844990076,28.79046960395864,7.503348694316436,66.5,-1.7940627589685647,observed,imputed
Jaylon Glover,UNLV,250,21,26.535030399463594,28.79046960395864,6.185130278526505,66.5,-2.2554392044950475,observed,imputed
Andrew Paul,Jacksonville State,250,21,25.784848623117533,28.79046960395864,4.041753774680604,66.5,-3.0056209808411083,observed,imputed
Logan Diggs,Ole Miss,250,23,25.765824349461795,28.79046960395864,3.98739870709278,66.5,-3.0246452544968463,observed,imputed
Kaelon Black,Indiana,250,23,25.411351386544183,28.79046960395864,2.9746188130424587,66.5,-3.379118217414458,observed,imputed
