player_id,player_display_name,position,recent_team,games,receptions,targets,receiving_yards,receiving_tds,carries,rushing_yards,rushing_tds,fantasy_points_ppr,season,fantasy_ppg
00-0035291,Trayveon Williams,RB,CLE,5,8.0,9.0,55.0,0.0,10.0,36.0,0.0,17.1,2025,3.4200000000000004
00-0035298,Scott Miller,WR,PIT,5,9.0,14.0,62.0,0.0,0.0,0.0,0.0,15.200000000000001,2025,3.04
00-0035311,Myles Gaskin,RB,SEA,1,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.6000000000000001,2025,0.6000000000000001
00-0035359,David Sills,WR,ATL,12,18.0,36.0,191.0,2.0,0.0,0.0,0.0,49.1,2025,4.091666666666667
00-0035406,Lil'Jordan Humphrey,WR,DEN,7,13.0,25.0,156.0,1.0,0.0,0.0,0.0,34.6,2025,4.942857142857143
00-0035500,Greg Dortch,WR,ARI,12,29.0,33.0,206.0,3.0,7.0,15.0,1.0,75.10000000000001,2025,6.258333333333334
00-0035535,Darius Slayton,WR,NYG,14,37.0,65.0,538.0,1.0,0.0,0.0,0.0,96.8,2025,6.914285714285714
00-0035537,Ty Johnson,RB,BUF,17,24.0,33.0,231.0,2.0,50.0,200.0,3.0,97.10000000000001,2025,5.711764705882353
00-0035544,Tom Kennedy,WR,DET,1,4.0,4.0,36.0,0.0,0.0,0.0,0.0,7.6,2025,7.6
00-0035567,Craig Reynolds,RB,NE,1,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.4,2025,0.4
00-0035594,Travis Homer,RB,CHI,1,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,-0.2,2025,-0.2
00-0035602,Alex Bachman,WR,LV,3,2.0,3.0,12.0,0.0,0.0,0.0,0.0,3.2,2025,1.0666666666666667
00-0035628,D'Ernest Johnson,RB,NE,5,0.0,0.0,0.0,0.0,14.0,25.0,0.0,2.5,2025,0.5
00-0035640,DK Metcalf,WR,PIT,15,59.0,99.0,850.0,6.0,2.0,12.0,1.0,187.2,2025,12.479999999999999
00-0035645,Gunner Olszewski,WR,NYG,4,10.0,13.0,145.0,1.0,0.0,0.0,0.0,30.500000000000004,2025,7.625000000000001
00-0035659,Terry McLaurin,WR,WAS,10,38.0,60.0,582.0,3.0,0.0,0.0,0.0,114.2,2025,11.42
00-0035662,Marquise Brown,WR,KC,16,49.0,74.0,587.0,5.0,0.0,0.0,0.0,137.7,2025,8.60625
00-0035676,A.J. Brown,WR,PHI,15,78.0,121.0,1003.0,7.0,0.0,0.0,0.0,220.3,2025,14.686666666666667
00-0035685,David Montgomery,RB,DET,17,24.0,29.0,192.0,0.0,159.0,716.0,8.0,162.8,2025,9.576470588235296
00-0035700,Josh Jacobs,RB,GB,15,36.0,44.0,282.0,1.0,234.0,929.0,13.0,241.1,2025,16.073333333333334
00-0035719,Deebo Samuel Sr.,WR,WAS,16,72.0,100.0,727.0,5.0,17.0,75.0,1.0,188.2,2025,11.7625
00-0035876,Andre Baccellia,WR,ARI,2,2.0,4.0,8.0,0.0,0.0,0.0,0.0,2.8,2025,1.4
00-0035891,Cody White,WR,SEA,3,3.0,4.0,90.0,1.0,0.0,0.0,0.0,18.0,2025,6.0
00-0036133,James Proche,WR,TEN,6,6.0,12.0,65.0,0.0,0.0,0.0,0.0,12.5,2025,2.0833333333333335
00-0036139,Rico Dowdle,RB,CAR,17,39.0,50.0,297.0,1.0,237.0,1076.0,6.0,218.3,2025,12.841176470588236
00-0036158,J.K. Dobbins,RB,DEN,10,11.0,14.0,37.0,0.0,153.0,772.0,4.0,115.9,2025,11.59
